Accuracy: 57.65% | eta: 0.25 | max_depth: 24 | epochs: 10
Accuracy: 57.02% | eta: 0.09 | max_depth: 25 | epochs: 10
Accuracy: 57.14% | eta: 0.23 | max_depth: 25 | epochs: 10
Accuracy: 57.52% | eta: 0.09 | max_depth: 26 | epochs: 10
Accuracy: 57.65% | eta: 0.13 | max_depth: 26 | epochs: 10
Accuracy: 57.90% | eta: 0.14 | max_depth: 26 | epochs: 10
Accuracy: 57.02% | eta: 0.20 | max_depth: 26 | epochs: 10
Accuracy: 57.27% | eta: 0.22 | max_depth: 26 | epochs: 10
Accuracy: 57.52% | eta: 0.25 | max_depth: 26 | epochs: 10
Accuracy: 57.02% | eta: 0.04 | max_depth: 27 | epochs: 10
Accuracy: 57.40% | eta: 0.05 | max_depth: 27 | epochs: 10
Accuracy: 57.52% | eta: 0.08 | max_depth: 27 | epochs: 10
Accuracy: 57.90% | eta: 0.09 | max_depth: 27 | epochs: 10
Accuracy: 57.02% | eta: 0.11 | max_depth: 27 | epochs: 10
Accuracy: 57.14% | eta: 0.13 | max_depth: 27 | epochs: 10
Accuracy: 57.77% | eta: 0.19 | max_depth: 27 | epochs: 10
Accuracy: 57.02% | eta: 0.05 | max_depth: 28 | epochs: 10
Accuracy: 57.14% | eta: 0.15 | max_depth: 28 | epochs: 10
Accuracy: 57.90% | eta: 0.16 | max_depth: 28 | epochs: 10
Accuracy: 57.40% | eta: 0.16 | max_depth: 29 | epochs: 10
Accuracy: 57.65% | eta: 0.17 | max_depth: 29 | epochs: 10
Accuracy: 57.02% | eta: 0.23 | max_depth: 29 | epochs: 10
Accuracy: 57.52% | eta: 0.32 | max_depth: 29 | epochs: 10
Accuracy: 57.02% | eta: 0.04 | max_depth: 30 | epochs: 10
Accuracy: 57.40% | eta: 0.07 | max_depth: 30 | epochs: 10
Accuracy: 57.14% | eta: 0.12 | max_depth: 30 | epochs: 10
Accuracy: 57.02% | eta: 0.16 | max_depth: 30 | epochs: 10
Accuracy: 57.02% | eta: 0.19 | max_depth: 30 | epochs: 10
Accuracy: 57.40% | eta: 0.09 | max_depth: 31 | epochs: 10
Accuracy: 57.65% | eta: 0.10 | max_depth: 31 | epochs: 10
Accuracy: 57.90% | eta: 0.16 | max_depth: 31 | epochs: 10
Accuracy: 57.14% | eta: 0.19 | max_depth: 32 | epochs: 10
Accuracy: 57.02% | eta: 0.04 | max_depth: 33 | epochs: 10
Accuracy: 57.14% | eta: 0.05 | max_depth: 33 | epochs: 10
Accuracy: 57.14% | eta: 0.09 | max_depth: 34 | epochs: 10
Accuracy: 57.40% | eta: 0.14 | max_depth: 34 | epochs: 10
Accuracy: 57.02% | eta: 0.05 | max_depth: 35 | epochs: 10
Accuracy: 57.65% | eta: 0.10 | max_depth: 35 | epochs: 10
Accuracy: 57.65% | eta: 0.14 | max_depth: 35 | epochs: 10
Accuracy: 57.14% | eta: 0.19 | max_depth: 35 | epochs: 10
Accuracy: 57.27% | eta: 0.25 | max_depth: 35 | epochs: 10
Accuracy: 57.27% | eta: 0.32 | max_depth: 35 | epochs: 10
Accuracy: 57.27% | eta: 0.13 | max_depth: 36 | epochs: 10
Accuracy: 57.40% | eta: 0.14 | max_depth: 36 | epochs: 10
Accuracy: 57.65% | eta: 0.05 | max_depth: 37 | epochs: 10
Accuracy: 57.14% | eta: 0.06 | max_depth: 37 | epochs: 10
Accuracy: 57.14% | eta: 0.11 | max_depth: 37 | epochs: 10
Accuracy: 57.27% | eta: 0.13 | max_depth: 37 | epochs: 10
Accuracy: 57.40% | eta: 0.14 | max_depth: 37 | epochs: 10
Accuracy: 57.90% | eta: 0.22 | max_depth: 37 | epochs: 10
Accuracy: 57.02% | eta: 0.05 | max_depth: 38 | epochs: 10
Accuracy: 57.27% | eta: 0.13 | max_depth: 38 | epochs: 10
Accuracy: 57.40% | eta: 0.14 | max_depth: 38 | epochs: 10
Accuracy: 57.52% | eta: 0.05 | max_depth: 39 | epochs: 10
Accuracy: 57.52% | eta: 0.08 | max_depth: 39 | epochs: 10
Accuracy: 57.14% | eta: 0.12 | max_depth: 39 | epochs: 10
Accuracy: 57.27% | eta: 0.13 | max_depth: 39 | epochs: 10
Accuracy: 57.40% | eta: 0.14 | max_depth: 39 | epochs: 10
Accuracy: 57.52% | eta: 0.05 | max_depth: 40 | epochs: 10
Accuracy: 57.52% | eta: 0.08 | max_depth: 40 | epochs: 10
Accuracy: 57.77% | eta: 0.12 | max_depth: 40 | epochs: 10
Accuracy: 57.27% | eta: 0.13 | max_depth: 40 | epochs: 10
Accuracy: 57.40% | eta: 0.14 | max_depth: 40 | epochs: 10
Accuracy: 57.90% | eta: 0.25 | max_depth: 40 | epochs: 10
Accuracy: 57.52% | eta: 0.05 | max_depth: 41 | epochs: 10
Accuracy: 57.52% | eta: 0.08 | max_depth: 41 | epochs: 10
Accuracy: 57.77% | eta: 0.12 | max_depth: 41 | epochs: 10
Accuracy: 57.27% | eta: 0.13 | max_depth: 41 | epochs: 10
Accuracy: 57.40% | eta: 0.14 | max_depth: 41 | epochs: 10
Accuracy: 57.52% | eta: 0.05 | max_depth: 42 | epochs: 10
Accuracy: 57.52% | eta: 0.08 | max_depth: 42 | epochs: 10
Accuracy: 57.77% | eta: 0.12 | max_depth: 42 | epochs: 10
Accuracy: 57.27% | eta: 0.13 | max_depth: 42 | epochs: 10
Accuracy: 57.40% | eta: 0.14 | max_depth: 42 | epochs: 10
Accuracy: 57.52% | eta: 0.05 | max_depth: 43 | epochs: 10
Accuracy: 57.52% | eta: 0.08 | max_depth: 43 | epochs: 10
Accuracy: 57.77% | eta: 0.12 | max_depth: 43 | epochs: 10
Accuracy: 57.27% | eta: 0.13 | max_depth: 43 | epochs: 10
Accuracy: 57.40% | eta: 0.14 | max_depth: 43 | epochs: 10
Accuracy: 57.52% | eta: 0.05 | max_depth: 44 | epochs: 10
Accuracy: 57.52% | eta: 0.08 | max_depth: 44 | epochs: 10
Accuracy: 57.77% | eta: 0.12 | max_depth: 44 | epochs: 10
Accuracy: 57.27% | eta: 0.13 | max_depth: 44 | epochs: 10
Accuracy: 57.40% | eta: 0.14 | max_depth: 44 | epochs: 10
Accuracy: 57.52% | eta: 0.25 | max_depth: 44 | epochs: 10
Accuracy: 57.52% | eta: 0.05 | max_depth: 45 | epochs: 10
Accuracy: 57.52% | eta: 0.08 | max_depth: 45 | epochs: 10
Accuracy: 57.77% | eta: 0.12 | max_depth: 45 | epochs: 10
Accuracy: 57.27% | eta: 0.13 | max_depth: 45 | epochs: 10
Accuracy: 57.40% | eta: 0.14 | max_depth: 45 | epochs: 10
Accuracy: 57.52% | eta: 0.25 | max_depth: 45 | epochs: 10
Accuracy: 57.52% | eta: 0.05 | max_depth: 46 | epochs: 10
Accuracy: 57.52% | eta: 0.08 | max_depth: 46 | epochs: 10
Accuracy: 57.77% | eta: 0.12 | max_depth: 46 | epochs: 10
Accuracy: 57.27% | eta: 0.13 | max_depth: 46 | epochs: 10
Accuracy: 57.40% | eta: 0.14 | max_depth: 46 | epochs: 10
Accuracy: 57.52% | eta: 0.25 | max_depth: 46 | epochs: 10
Accuracy: 57.52% | eta: 0.05 | max_depth: 47 | epochs: 10
Accuracy: 57.52% | eta: 0.08 | max_depth: 47 | epochs: 10
Accuracy: 57.77% | eta: 0.12 | max_depth: 47 | epochs: 10
Accuracy: 57.27% | eta: 0.13 | max_depth: 47 | epochs: 10
Accuracy: 57.40% | eta: 0.14 | max_depth: 47 | epochs: 10
Accuracy: 57.52% | eta: 0.25 | max_depth: 47 | epochs: 10
Accuracy: 57.52% | eta: 0.05 | max_depth: 48 | epochs: 10
Accuracy: 57.52% | eta: 0.08 | max_depth: 48 | epochs: 10
Accuracy: 57.77% | eta: 0.12 | max_depth: 48 | epochs: 10
Accuracy: 57.27% | eta: 0.13 | max_depth: 48 | epochs: 10
Accuracy: 57.40% | eta: 0.14 | max_depth: 48 | epochs: 10
Accuracy: 57.52% | eta: 0.25 | max_depth: 48 | epochs: 10
Accuracy: 57.52% | eta: 0.05 | max_depth: 49 | epochs: 10
Accuracy: 57.52% | eta: 0.08 | max_depth: 49 | epochs: 10
Accuracy: 57.77% | eta: 0.12 | max_depth: 49 | epochs: 10
Accuracy: 57.27% | eta: 0.13 | max_depth: 49 | epochs: 10
Accuracy: 57.40% | eta: 0.14 | max_depth: 49 | epochs: 10
Accuracy: 57.52% | eta: 0.25 | max_depth: 49 | epochs: 10
Accuracy: 57.52% | eta: 0.05 | max_depth: 50 | epochs: 10
Accuracy: 57.52% | eta: 0.08 | max_depth: 50 | epochs: 10
Accuracy: 57.77% | eta: 0.12 | max_depth: 50 | epochs: 10
Accuracy: 57.27% | eta: 0.13 | max_depth: 50 | epochs: 10
Accuracy: 57.40% | eta: 0.14 | max_depth: 50 | epochs: 10
Accuracy: 57.52% | eta: 0.25 | max_depth: 50 | epochs: 10
Accuracy: 57.52% | eta: 0.05 | max_depth: 51 | epochs: 10
Accuracy: 57.52% | eta: 0.08 | max_depth: 51 | epochs: 10
Accuracy: 57.77% | eta: 0.12 | max_depth: 51 | epochs: 10
Accuracy: 57.27% | eta: 0.13 | max_depth: 51 | epochs: 10
Accuracy: 57.40% | eta: 0.14 | max_depth: 51 | epochs: 10
Accuracy: 57.52% | eta: 0.25 | max_depth: 51 | epochs: 10

~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~


Accuracy: 53.73% | eta: 0.01 | max_depth: 3 | epochs: 10
Accuracy: 53.73% | eta: 0.02 | max_depth: 3 | epochs: 10
Accuracy: 53.73% | eta: 0.03 | max_depth: 3 | epochs: 10
Accuracy: 53.98% | eta: 0.04 | max_depth: 3 | epochs: 10
Accuracy: 54.36% | eta: 0.05 | max_depth: 3 | epochs: 10
Accuracy: 54.36% | eta: 0.060000000000000005 | max_depth: 3 | epochs: 10
Accuracy: 54.49% | eta: 0.06999999999999999 | max_depth: 3 | epochs: 10
Accuracy: 55.25% | eta: 0.08 | max_depth: 3 | epochs: 10
Accuracy: 54.61% | eta: 0.09 | max_depth: 3 | epochs: 10
Accuracy: 54.61% | eta: 0.09999999999999999 | max_depth: 3 | epochs: 10
Accuracy: 53.86% | eta: 0.11 | max_depth: 3 | epochs: 10
Accuracy: 54.49% | eta: 0.12 | max_depth: 3 | epochs: 10
Accuracy: 55.75% | eta: 0.13 | max_depth: 3 | epochs: 10
Accuracy: 55.63% | eta: 0.14 | max_depth: 3 | epochs: 10
Accuracy: 56.26% | eta: 0.15000000000000002 | max_depth: 3 | epochs: 10
Accuracy: 55.63% | eta: 0.16 | max_depth: 3 | epochs: 10
Accuracy: 55.25% | eta: 0.17 | max_depth: 3 | epochs: 10
Accuracy: 56.01% | eta: 0.18000000000000002 | max_depth: 3 | epochs: 10
Accuracy: 54.74% | eta: 0.19 | max_depth: 3 | epochs: 10
Accuracy: 56.51% | eta: 0.2 | max_depth: 3 | epochs: 10
Accuracy: 53.73% | eta: 0.01 | max_depth: 4 | epochs: 10
Accuracy: 53.98% | eta: 0.02 | max_depth: 4 | epochs: 10
Accuracy: 54.36% | eta: 0.03 | max_depth: 4 | epochs: 10
Accuracy: 54.36% | eta: 0.04 | max_depth: 4 | epochs: 10
Accuracy: 53.86% | eta: 0.05 | max_depth: 4 | epochs: 10
Accuracy: 56.13% | eta: 0.060000000000000005 | max_depth: 4 | epochs: 10
Accuracy: 55.37% | eta: 0.06999999999999999 | max_depth: 4 | epochs: 10
Accuracy: 55.63% | eta: 0.08 | max_depth: 4 | epochs: 10
Accuracy: 56.38% | eta: 0.09 | max_depth: 4 | epochs: 10
Accuracy: 55.50% | eta: 0.09999999999999999 | max_depth: 4 | epochs: 10
Accuracy: 54.24% | eta: 0.11 | max_depth: 4 | epochs: 10
Accuracy: 55.25% | eta: 0.12 | max_depth: 4 | epochs: 10
Accuracy: 52.72% | eta: 0.13 | max_depth: 4 | epochs: 10
